real_q97 imag_q97
472 0
530 -303
438 -1184
2494 -1207
3248 -229
6400 -1485
-563 -1812
2570 523
2506 -2731
233 -2352
-1738 3896
404 5613
-5050 -3300
1290 -1948
-3401 838
187 -1148
-4925 -6836
2756 6677
660 2767
125 2444
6925 -1526
6207 2143
9104 1403
-1673 2087
1195 24
-9158 3839
-1635 121
-943 1370
-852 861
1058 -888
180 907
-491 842
-500 880
2347 125
113 929
104 995
326 3054
-506 1263
-462 -210
470 -821
1270 -114
2384 -500
89 947
668 -305
1350 -114
-1467 14
1067 -515
1465 1291
264 -355
548 434
-1491 -644
11 746
60 341
1486 60
1368 643
4635 -429
-5424 1429
-1391 -727
213 -2220
-1273 991
-771 951
-1091 868
-862 1876
-26 -1789
-1242 633
-384 -14
-498 -807
-636 1689
169 707
-241 689
300 154
-85 493
-722 569
285 333
287 409
189 1132
273 1016
-482 539
1030 517
-235 -695
-8 -290
-256 -39
-239 -84
-480 -58
947 12
-185 -196
-81 250
-119 198
-104 340
-1546 688
349 -410
-131 -169
-107 -160
-131 595
230 55
431 -99
-339 -138
-117 -361
-360 370
-308 215
-349 394
928 -1230
-12 -150
-60 -133
-216 -102
-231 136
-48 77
-64 99
-171 88
-125 -340
-112 377
-51 207
-74 101
-99 324
-56 421
-51 82
-119 181
-28 142
-310 282
-284 80
-184 -28
-58 189
82 177
-43 109
-310 -147
-145 149
-98 196
-41 -191
-66 -75
-131 115
-53 99
-54 91
-47 99
-55 112
-32 119
-87 122
-145 -221
-126 27
-61 49
-55 62
-51 60
-36 44
-46 47
-44 37
-54 31
-48 34
-18 -9
128 -17
-223 156
-115 185
-91 148
-64 133
-51 115
-46 103
-44 94
-47 87
-53 82
-49 82
-51 86
-51 85
-48 86
-45 90
-52 106
83 32
-92 37
-53 56
-47 60
-42 62
-34 58
-29 45
-22 37
79 -1
-136 217
-136 189
-63 110
-63 83
-62 79
-61 73
-63 74
-57 73
-61 70
-54 78
-53 78
-45 74
66 -28
-54 60
-59 66
-56 69
-53 68
-52 67
-51 66
-51 65
-50 64
-50 63
-50 62
-50 62
-49 61
-49 61
-49 60
-49 59
-49 59
-49 58
-49 57
-49 57
-48 57
-49 55
-49 57
-47 56
-54 63
-60 69
-52 37
-35 34
-37 51
-57 66
-31 39
-38 51
-25 52
-50 49
-44 62
-55 58
-50 52
-47 53
-25 55
-54 50
-51 48
-51 45
-64 53
-47 67
-39 50
-52 53
-31 55
-45 45
-45 47
-45 48
-46 51
-30 41
-52 49
-66 44
-40 53
-35 32
-56 38
-44 44
-53 36
-55 68
-38 35
-52 37
-50 38
-55 40
-49 68
-39 42
-44 39
-45 39
-46 39
-46 39
-47 35
-40 38
-45 41
-44 40
-45 40
-45 39
-45 39
-45 40
-47 43
-51 36
-45 36
-45 36
-46 37
-45 37
-45 36
-47 37
-54 41
-27 34
-36 39
-46 38
-46 35
-65 39
-44 38
-47 32
-40 31
-43 36
-44 34
-44 34
-45 34
-45 34
-45 33
-45 33
-46 33
-51 31
-54 25
-30 43
-45 28
-35 28
-55 20
-43 37
-44 32
-46 29
-47 41
-45 32
-46 32
-49 28
-42 38
-41 28
-43 30
-44 30
-45 28
-43 27
-42 28
-41 27
-41 29
-42 29
-42 29
-43 30
-44 20
-48 29
-41 28
-42 31
-44 30
-45 27
-43 25
-33 23
-47 26
-46 25
-42 27
-44 28
-44 26
-45 28
-48 23
-41 23
-46 26
-51 27
-38 27
-45 24
-42 22
-42 24
-43 23
-42 23
-43 23
-43 24
-42 23
-42 23
-42 25
-48 26
-38 30
-44 21
-43 22
-43 23
