real imag
-3.0867614746 0.0000000000
-2.0223945435 -3.2402582195
4.0938784611 0.2421743406
-24.4854159792 -23.8850426013
11.1013372552 8.3832747346
-0.0665098454 -16.9095050567
-0.2939304100 -26.5791098415
-4.8974547960 25.3332594671
-7.6414344456 -28.8643145002
-0.3255801655 13.7982476421
-17.7766512710 30.7254884739
-71.1092119004 -99.4771598095
-5.3832662646 0.5451123443
0.9640099309 11.9005412148
1.8709442174 36.7924632002
-5.9466666933 20.1803588420
-22.6973210383 26.6823747726
30.7713330057 4.3986609517
6.3422169481 7.9994093807
-1.7636252843 19.3491303693
30.3012253608 12.0229619820
22.0267822233 -5.3149032145
30.6439264073 28.8159490657
9.2895162381 -5.2749575086
11.1974879149 -5.9777235402
-40.9905249082 28.1560171812
-10.4397436936 15.6126524119
3.1814310618 -2.7306460078
0.3937213603 0.3886699089
0.2190103901 -12.5750983117
-1.3133940224 4.5141525519
1.3573858040 -4.5248231158
0.2737561309 -3.8700404688
-22.2895638660 9.2107200194
0.4771021038 6.7391459441
0.1950566199 4.7332201871
8.6445894525 6.2121867588
-11.2106706012 5.9341347509
3.0404464557 0.9192536768
2.5188699217 6.5470938751
-0.8891124547 9.9362558653
-3.4487312935 5.5433138545
2.9466710645 -5.9473996911
4.3193735582 1.1076251638
14.4132404278 -11.3375541510
-9.2524285104 11.3136310581
-8.5195512436 -16.5587642191
1.7328160401 2.6392178944
-0.7945665955 3.4903403126
-0.0549228273 7.1599383314
-0.2149615028 0.8855313009
-0.7783751254 0.5645273283
0.2035848509 2.7093212990
-5.0510189639 4.4008992234
0.2903929577 1.4056874501
-8.0384634066 13.2044491316
2.2756304173 -9.3657548756
-1.1863361621 0.9879398027
-14.2695730891 13.0559185463
12.7059963679 -0.0240258563
-0.0133404793 -6.8349633117
4.7688130494 -3.7819720293
-8.0978873003 -0.6769260719
1.8839186941 0.4547522173
1.1046267777 -0.7259671355
-1.4112140895 -1.3725500997
-5.0001263542 -1.6979284069
3.5100183086 6.2664955043
0.6871305508 2.0175093434
2.3238756487 1.1269860525
2.5190366224 -3.8531508499
-2.4893401367 0.0144149317
4.7197198621 1.4132672398
-2.6189062273 1.2773444355
-1.7845070554 -0.2504203008
1.0676341196 -4.4267357903
-1.3133464260 1.5422248079
-1.1085000317 3.7773607873
2.1048939428 3.7500036057
-1.7314256173 1.3539595106
-0.5873902708 -2.3177582858
0.3769365810 -0.2588366762
0.2934942192 -0.4617592926
1.5022876410 -0.6092918197
-3.3858446827 -0.0503193016
-2.6809715600 1.3334347217
0.0976817682 -1.0415427618
-1.9258349094 2.2658768352
1.6024664971 1.2012427413
-3.3613659903 0.7189802006
-0.0006697388 1.4248855439
0.3538259814 0.3016396032
0.3362869798 1.1553410890
0.9686880777 0.8484051831
0.9146785015 0.5623873972
-0.2144817696 -1.4940766632
-0.3300269630 2.0281212657
-0.1256251519 1.6286238187
-0.5516157889 0.8590199954
-0.8288071117 1.4114693457
-1.6788623447 3.2817836190
0.0860356370 -1.1460701173
0.5842118857 0.2267641968
-0.1692894457 0.2940701290
-0.0055741513 0.3615682858
0.5334049422 0.5645918450
0.2913302874 0.3225276823
-0.4968945767 0.6747472423
-0.0200847386 0.2752277726
0.3629543840 0.2564392381
-0.2849977807 1.1579641394
-0.1230797282 0.5399137322
0.0816645835 0.9782939659
0.0597955161 1.8098057017
-0.5687589688 0.5229541988
-0.1620602519 0.9942899124
-0.1112250415 0.6420349487
-0.0598145250 0.8001084218
0.3149649566 0.8787558645
-0.1143449571 0.4854787295
0.4097841135 1.2049920924
-0.1194259897 0.5772399975
0.0380995212 0.5609864876
-0.3402214999 0.6432186884
-0.2897285810 -0.1698847407
-0.2780921054 0.5251419662
-0.0909139612 0.6229703188
-0.1662282993 0.2565757788
0.0356454889 -0.3099964751
-0.0333855932 0.3748258963
0.3993417344 0.3269674749
-0.3096292867 0.4849929280
-0.3123176841 0.4407936916
-0.2281102066 0.4544661443
-0.1448575519 0.5035187079
-0.1332675695 0.1130930125
0.2155782025 0.6057824866
-0.1000844953 0.3333135986
-0.0972285073 0.4006550627
-0.1046050801 0.4183689937
-0.0815786706 0.4402684854
-0.0425420514 0.5322359530
-0.1060193490 0.2792838113
-0.2969367244 0.4627467316
-0.1202957350 0.5552582619
0.1773887584 0.3119928992
0.0532588743 0.4471664196
0.2428751455 0.4694955962
-0.3564696352 0.1059833485
-0.2167218808 0.2781485493
-0.2455811010 0.3364241636
-0.1946280700 0.3416729526
-0.1603173130 0.3441926326
-0.1272169817 0.3879148872
-0.0712569926 0.3448420751
-0.1412642691 0.2914319613
-0.1825998616 0.2486869285
-0.2298594972 0.3212718748
-0.1748110665 0.3184541832
-0.2193568962 0.3056714615
-0.2199331566 0.4120791724
-0.1718036557 0.4020967230
-0.1846007350 0.3788864723
-0.1732554821 0.3612866222
-0.1635342203 0.3706018137
-0.1863729153 0.3729224981
-0.1992866673 0.3510996961
-0.1926847796 0.3248072564
-0.1765522825 0.3096195147
-0.1512218984 0.2975195958
-0.1244496881 0.3149057344
-0.0486397751 0.4592327853
-0.5349433570 0.1295733815
-0.1051787091 0.3438756269
-0.2205017833 0.2938367735
-0.1951867570 0.2928579658
-0.1495016540 0.3085703176
-0.1741860035 0.3266498975
-0.1863409247 0.2597632228
-0.1675261777 0.3493734640
-0.1325496553 0.2859301995
-0.1409119088 0.2779145520
-0.1865829798 0.3006152388
-0.2189290750 0.3236864381
-0.3465947885 0.3259140546
-0.1676704562 0.2856383627
-0.1090142389 0.2754958362
-0.1954091078 0.3035512671
-0.1630454563 0.2639281475
-0.1565219679 0.3167330190
-0.1629425461 0.2926282881
-0.2058749957 0.2555091128
-0.1661001673 0.2791386728
-0.1326035961 0.2487293890
-0.1096996294 0.3692922156
-0.1433445072 0.3195620890
-0.1928997823 0.2974138365
-0.1529262508 0.2529251638
-0.1930626071 0.2424775614
-0.1838846791 0.3274356052
-0.2589697513 0.2476780005
-0.2160555362 0.2589325525
-0.2022309777 0.2882996640
-0.1684553452 0.2505431865
-0.1819048071 0.2708392371
-0.1577864617 0.2286652025
-0.1844399227 0.2760908655
-0.1780115069 0.2560152727
-0.1906813506 0.2581017183
-0.2591197117 0.2215273730
-0.1969560242 0.2757760233
-0.1936876446 0.2527182183
-0.1417188474 0.2723159718
-0.1872894070 0.2744405999
-0.1748737286 0.2482844266
-0.1790424915 0.2426658343
-0.2251190817 0.3053717889
-0.1689476880 0.2049298778
-0.1962470258 0.2359558136
-0.2081328248 0.2676690769
-0.1857067250 0.2377444006
-0.1817198935 0.2187680276
-0.1459365763 0.2486760583
-0.1500846039 0.2269430026
-0.2119256536 0.2290116027
-0.1642744331 0.2210632161
